name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
The Brooklyn Creamery - Healthy Ice Cream,SCETOR-I, SALT LAKE,Too Few Ratings,39, SALT LAKE,['Desserts' 'Ice Cream' 'Healthy Food'],₹200 FOR TWO,,,
Kwality Wall's Swirl's,Bidhannagar,20+ ratings,37,CF 121; Near Swimming Pool; Sector 1; Salt Lake,Near Chowrasia pan shop,['Ice Cream'],₹150 FOR TWO,,,
Kaafila,Bidhannagar,50+ ratings,53,3rd Floor; Block B; City Centre 1; Sector 1; Salt Lake ; Kolkata India,Sector 1,['Mughlai' 'North Indian'],₹1600 FOR TWO,,,
The Melbourne Cafe,Bidhannagar,100+ ratings,37,DB-08; Sector 1; Salt Lake City; Kolkata;Salt Lake;Kolkata,Salt Lake,['Cafe'],₹300 FOR TWO,,,
Haka,Bidhannagar,500+ ratings,57,E-205; Block-E; City Centre; DC Block; Sector-1; Salt Lake; Kolkata 700064,City Centre,['Chinese' 'Asian' 'Seafood'],₹350 FOR TWO,,,
Krazzy For Waffle,Bidhannagar,100+ ratings,48,EC 45; Sector 1; Salt Lake; Kolkata-700064,Salt Lake Sector 1,['Desserts' 'Beverages' 'Ice Cream'],₹200 FOR TWO,,,
Zaairah,Bidhannagar,20+ ratings,41,EC-18; Sector 1; Salt Lake,Opposite City Centre,['Indian' 'Chinese' 'Italian' 'Continental'],₹1000 FOR TWO,,,
Uddta Punjab by Don Giovannis,Bidhannagar,Too Few Ratings,61,BD 46; Sector 1; Salt Lake,Behind HDFC Bank ATM,['Indian'],₹900 FOR TWO,,,
WEERJI DILLI SOYA CHAAP,Bidhannagar,100+ ratings,36,Ae- 345; Sector 1 - Salt lake - Kolkata- 700064,Salt Lake,['Indian' 'North Indian'],₹350 FOR TWO,,,
The Green House Cafe,Bidhannagar,Too Few Ratings,53,BF 186; Sector 1 ; Salt Lake.,Near Ganguram,['Continental' 'Italian'],₹500 FOR TWO,,,
Chai Latte,Salt Lake,Too Few Ratings,47,BF-40; Saltlake sector 1 Near Saltlake Swimming Pool; BF Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Beverages' 'Fast Food' 'Italian' 'Snacks' 'Desserts' 'Salads'],₹400 FOR TWO,,,
KUNG PAO by DON GIOVANNIS,Bidhannagar,50+ ratings,59,BD 46; Sector 1; Salt Lake,Behind HDFC Bank ATM,['Chinese' 'Thai' 'Burmese'],₹1000 FOR TWO,,,
Kloud Kitchen,Bidhannagar,100+ ratings,46,BLOCK-EC-229 SECTOR-1 SALT LAKE CITY ; District - North Twenty Four Parganas; STATE - West Bengal,Salt Lake,['Tandoor' 'Chinese' 'Continental'],₹250 FOR TWO,,,
Afraa Deli-Sector 1,Bidhannagar,50+ ratings,48,Ground Floor; Block G; City Centre 1; Sector 1; Salt Lake; Kolkata,Sector 1,['Continental' 'Fast Food' 'Italian' 'Beverages'],₹700 FOR TWO,,,
Chai Break - CC1,Bidhannagar,100+ ratings,53,Airtel Store Salt Lake City Centre 1(Near Airtel Store),salt lake,['Indian' 'Chinese' 'Pizzas' 'Italian'],₹800 FOR TWO,,,
KREAMZ,Salt Lake,Too Few Ratings,38,BH-9;SALT LAKE;SECTOR-2;P.O.-SECH BHAVAN;P.S.-BIDHANNAGAR EAST;KOLKATA WARD NO-30;BIHANNAGAR-RAJARHAT MUNICIPAL CORPORATION;NORTH TWENTY FOUR PARGANAS;WEST BENGAL-700091,Salt Lake,['Bakery' 'Pizzas' 'Desserts' 'Snacks'],₹100 FOR TWO,,,
Icy Fusion,Bidhannagar,20+ ratings,38,EDB-8; Opposite Biddhannagr College; Near City Center 1; Saltlake City; Sector 1; Salt Lake; Kolkata,Opposite Biddhannagr College,['Ice Cream'],₹300 FOR TWO,,,
Sonar Tori,Bidhannagar,100+ ratings,53,4th Floor; B Block; City Centre; Sector 1; Bidhannagar; Kolkata; West Bengal 700064,Bidhannagar,['Bengali' 'Indian' 'Bangladeshi'],₹800 FOR TWO,,,
