name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
Broccoli Pizza & Pasta,Saltlake Sector 1,50+ ratings,53,DC 23; Ground Floor ; Saltlake Sector 1; Near City Center Bata Gate ; Kolkata -700064,Saltlake Sector 1,['Pizzas' 'Salads' 'Pastas' 'Italian' 'Healthy Food'],₹300 FOR TWO,,,
THE PAWLICIOUS FOODS BY GREEN HOUSE,Salt Lake,Too Few Ratings,52,BF-186; Salt lake; Sector 1; bhidannagar rajharhat municipal corporation north twenty four parganas west bengal-700064.,Salt Lake,['Healthy Food' 'Fast Food' 'Bakery'],₹300 FOR TWO,,,
Courting Coffees,Bidhannagar,50+ ratings,51,BK 39; Near Tank 8; Sector 2; Salt Lake,Near Island Number 8,['Continental'],₹300 FOR TWO,,,
Calcutta Canteen,Bidhannagar,Too Few Ratings,46,CF-326; SECTOR-1; GROUND FLOOR; SALTLAKE,Sector 1,['Bengali'],₹500 FOR TWO,,,
Thai Mee by Don Giovannis,Salt Lake,Too Few Ratings,53,BD 46 SALT LAKE WARD NO 41  KOLKATA  700068 WEST BENGAL,Salt Lake,['Asian' 'Chinese' 'Thai'],₹900 FOR TWO,,,
Little Pleasures ,Salt Lake,20+ ratings,43,UNIT-C002; BLOCK-DC; GROUND FLOOR; CITY CENTRE; SECTOR-I; SALT LAKE CITY; WARD NO.40; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700064,Salt Lake,['Bakery' 'Desserts'],₹1000 FOR TWO,,,
Haveli,Bidhannagar,20+ ratings,45,CK-2; CK Block; Sector II; Bidhannagar; Kolkata; West Bengal 700091; India,Salt Lake,['Indian'],₹1200 FOR TWO,,,
Just Baked,City Centre,Too Few Ratings,40,DD-30 A; Sector 1; Opp. City Centre Exit Gate; Kol - 64,Near city centre,['Desserts' 'Bakery' 'Sweets'],₹250 FOR TWO,,,
25 MAIN STREET CAFE,Salt Lake,Too Few Ratings,50,BG-25 SECTOR 2 SALTLAKE ;WARD NO-30;NORTH 24 PARGANAS-700091,Salt Lake,['Continental' 'Chinese' 'Italian' 'North Indian'],₹300 FOR TWO,,,
The Orient,Bidhannagar,100+ ratings,55,City Centre Mall; Salt Lake,City Center 1 Mall,['Chinese' 'Japanese' 'Thai' 'Burmese' 'Tibetan' 'Thalis'],₹1000 FOR TWO,,,
Snacking Square,Salt Lake,Too Few Ratings,41,Bf 90 salt lake sector 1,Salt Lake,['Fast Food' 'Snacks' 'Mexican'],₹250 FOR TWO,,,
aamio bengali restaurant,Salt Lake,50+ ratings,48,BL-37 SECTOR-2 SALT LAKE ,Salt Lake,['Bangladeshi' 'Bengali'],₹200 FOR TWO,,,
The Belgian Waffle Co.,Bidhannagar,100+ ratings,42,AE504; Salt Lake City; Sector 1; Kolkata - 700064,Sector 1,['Desserts' 'Beverages'],₹200 FOR TWO,,,
Afraa lounge,Salt Lake,20+ ratings,55,G Block; 7th Floor; City Centre Salt Lake; Sector I,Salt Lake,['Chinese' 'Continental' 'Indian' 'Combo'],₹1500 FOR TWO,,,
Kuheli Rannaghar,Bidhannagar,100+ ratings,52,"EE-27;salt	lake	City;sector	2;kolkata",Salt Lake,['Indian'],₹200 FOR TWO,,,
MASALA DARBAR,Salt Lake,Too Few Ratings,42,AE 355 ; SECTOR-1 ; SALT LAKE; WARD NO-31; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700064,Salt Lake,['North Indian' 'Chinese' 'Tandoor' 'Biryani'],₹200 FOR TWO,,,
The Biryani Inc.,Bidhannagar,500+ ratings,51,NP-14; Sector 5; Salt Lake; Kolkata,Near Midland Park,['Biryani' 'Mughlai' 'Kebabs' 'North Indian'],₹350 FOR TWO,,,
Food Bay,Bidhannagar,50+ ratings,42,City Center 1; Kund Area; Sector 1; Salt Lake; Kolkata,City Centre 1,['Seafood'],₹300 FOR TWO,,,
The Frozen Tree,Bidhannagar,Too Few Ratings,45,AK-253; Sector 2; Salt lake City; Near AK Park. Kol-91 Ground Floor,Near AK Park,['Desserts' 'Ice Cream'],₹250 FOR TWO,,,
POULOMI HOTEL AND  ASSOCIATE,Rajarhat,Too Few Ratings,44,31; AJ SALT LAKE CITY; SEC-2;  BIDHANNAGAR; WARD NO- 029;  BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North  Twenty Four Parganas; West  Bengal; 700091,Rajarhat,['Indian' 'Chinese' 'Beverages'],₹600 FOR TWO,,,
AQUAJAVA PLUSH,Salt Lake,Too Few Ratings,50,EC-33; City Centre; 2nd Cross Road; Sector-1; Bidhannagar; EC Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Beverages'],₹800 FOR TWO,,,
Dunkel Braun,Salt Lake,Too Few Ratings,42,EC 15 ; Sector -1 Saltlake City ; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700064,Salt Lake,['Bakery' 'Desserts'],₹300 FOR TWO,,,
Terminal 11,Bidhannagar,50+ ratings,44,BF 11; Sector 1; Salt Lake,Near CAP Camp Island,['Italian' 'Mexican' 'Continental'],₹1100 FOR TWO,,,
MANDALA- The Oriental Kitchen,Bidhannagar,50+ ratings,51,GROUND FLOOR; GORKHA BHAVAN; 2ND CROSS ROAD; DD BLOCK; SECTOR-1;Kolkata;  - 700064,Salt Lake,['Oriental' 'Chinese' 'Nepalese' 'Tibetan' 'Asian'],₹450 FOR TWO,,,
Fly Kouzina,Bidhannagar,100+ ratings,48,AD 73; Near BD Market Bus Stop; Sector 1; Sector 1; Salt Lake 700064,Sector 1,['Italian' 'Chinese' 'North Indian' 'Biryani' 'Kebabs' 'Healthy Food' 'Beverages' 'Desserts'],₹1000 FOR TWO,,,
Trufflates - Homemade Goodness,Salt Lake,50+ ratings,47,BE-102; 1st Ave Rd; BE Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Cafe' 'Desserts'],₹250 FOR TWO,,,
Priyam,Bidhannagar,20+ ratings,40,Be 7 salt lake Sector 1; WARD NO-31; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700064,Sector-1,['Ice Cream' 'Beverages'],₹100 FOR TWO,,,
Mainland China,Bidhannagar,100+ ratings,60,E-205; Block-E; City Centre; DC Block; Sector-1; Salt Lake; Kolkata 700064,City Centre,['Chinese' 'Oriental' 'Thai' 'Pan-Asian' 'Seafood' 'Asian' 'Desserts'],₹850 FOR TWO,,,
The Darjeeling,Bidhannagar,100+ ratings,52,DB 35. Sector 1. Near CA island. Salt Lake,Near City Centre 1,['Chinese' 'Nepalese' 'Tibetan'],₹500 FOR TWO,,,
Kouzina Express,Bidhannagar,1000+ ratings,46,AD  79; Sector 1; Salt Lake City; Kolkata  700064,Salt Lake,['North Indian' 'Chinese' 'Italian' 'Biryani' 'Healthy Food' 'Kebabs' 'Beverages' 'Desserts'],₹800 FOR TWO,,,
Domino's Pizza,Bidhannagar,100+ ratings,30,Bf-193;Sector-1;Salt Lake Citysalt Lake City;Kolkata - 700027,BT Road,['Pizzas'],₹400 FOR TWO,,,
7 Days,Bidhannagar,Too Few Ratings,48,GD 151; GD Block; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Indian'],₹600 FOR TWO,,,
THE SCOOP NEW EMPIRE,Salt Lake,Too Few Ratings,45,PLOT NO- 34; BLOCK - DC ; SECTOR - 1 ; SALT LAKE ; BIDHANNAGAR RAJARHAT MUNCIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS; WEST BENGAL - 700064,Salt Lake,['Chinese' 'Fast Food' 'North Indian' 'Italian'],₹350 FOR TWO,,,
SHANGHAI FLAVOURS OF CHINA TOWN,Salt Lake,20+ ratings,54,5/2; DUMDUM COSSIPORE ROAD; KOLKATA-700074; WARD NO-22;WEST BENGAL-700074,Salt Lake,['Chinese'],₹800 FOR TWO,,,
Baker's Nest,Bidhannagar,100+ ratings,46,EC 263;Sector 1;Salt Lake;Kolkata 700064,Near City Centre,['Continental' 'Italian' 'Desserts' 'Beverages' 'Bakery'],₹400 FOR TWO,,,
Once upon a Noodle by Ambuja Neotia,Bidhannagar,20+ ratings,56,PLOT.1;DC-BLOCK;UNIT NO.E407A & E407B;4TH FLOOR;BLOCK-E;SALT LAKE;CITY CENTRE;KOLKATA-700064;STATE -West Bengal,Salt Lake,['Chinese'],₹599 FOR TWO,,,
Mrs. Magpie,Bidhannagar,100+ ratings,38,EC-6 Salt Lake Sector-1; Kolkata -700064,Near City Centre,['Bakery' 'Continental'],₹500 FOR TWO,,,
KARIMS (Original from Jama Masjid Delhi 6),Salt Lake,100+ ratings,41,AD-53; near Tank No 4; AD Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['North Indian' 'Tandoor' 'Biryani' 'Lucknowi' 'Desserts' 'Indian' 'Kebabs'],₹800 FOR TWO,,,
INOX,Bidhannagar,Too Few Ratings,37,INOX Leisure Ltd.; City Centre; DC-1; Sector 1; Salt Lake; Kolkata 700064,KOLKATA CITY CENTER,['Snacks'],₹400 FOR TWO,,,
Blakely Bakery & Confectionary,Salt Lake,20+ ratings,55,DN 49; DN Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Salt Lake,['Desserts' 'Bakery'],₹200 FOR TWO,,,
Maa Annapurna,Bidhannagar,500+ ratings,58,IA Market;Shop N0-12;Kolkata 700097,Near 13 no. Tank,['Indian'],₹200 FOR TWO,,,
The Rouge - Salt Lake,Salt Lake,50+ ratings,40,CB-68; SALTLAKE; SECTOR - 1; KOLKATA-700064; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS; WEST BENGAL-700064,Salt Lake,['Desserts' 'Bakery'],₹300 FOR TWO,,,
Hatti Punjab Di,Bidhannagar,20+ ratings,57,BE 95 Near Kwality More Sector  1 Salt Lake City Kolkata 700064,Koramangala,['Biryani' 'North Indian' 'Chinese' 'Punjabi' 'Thalis' 'Desserts'],₹250 FOR TWO,,,
Rasna Buzz,Salt Lake,Too Few Ratings,46,AE 345 NR KWALITY MORE SECTOR 1 SALT LAKE KOLKATA 700064,SALT LAKE,['Pastas' 'Pizzas' 'Beverages' 'Salads' 'Desserts' 'Juices' 'Snacks'],₹250 FOR TWO,,,
Namak,Bidhannagar,50+ ratings,45,BD 29; BD Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064.,Salt Lake,['North Indian' 'Chinese' 'Oriental' 'Italian' 'Biryani' 'Kebabs' 'Healthy Food' 'Desserts' 'Beverages'],₹800 FOR TWO,,,
Prettybhoj,Salt Lake,Too Few Ratings,53,GD-174; GD Block; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Bengali' 'Indian'],₹450 FOR TWO,,,
Story of food,Maniktala Main Rd,100+ ratings,58,127-H Manictala Main Road;Kankurgachi; Kolkata-700054,Kankurgachi,['Bengali' 'Snacks' 'Beverages' 'Thalis'],₹200 FOR TWO,,,
Humpty Dumplings,Bidhannagar,50+ ratings,45,AD - 79; Sector 1; Salt Lake City; Kolkata - 700064,Salt Lake,['Chinese' 'Asian' 'Oriental' 'Healthy Food' 'Tibetan' 'Thai' 'Seafood'],₹600 FOR TWO,,,
Kouzina Marine,Bidhannagar,100+ ratings,45,BD 29 Sector 1 Salt Lake Kolkata-700064,Sector 1,['North Indian' 'Chinese' 'Italian' 'Biryani' 'Healthy Food' 'Kebabs' 'Beverages' 'Desserts'],₹1000 FOR TWO,,,
Tea Junction,Bidhannagar,50+ ratings,40,EM 4 ; E M BLOCK; SECTOR V; SALT LAKE CITY; WEST BENGAL - 700091,Salt lake sector V,['Beverages' 'Snacks'],₹150 FOR TWO,,,
Rendezvous - Monotel,Bidhannagar,Too Few Ratings,64,Monotel; DM 2; Sector 5; Salt Lake,Near Wipro Gate 4,['Italian' 'Chinese' 'Desserts' 'Continental' 'Indian'],₹500 FOR TWO,,,
BIRYANI Q&Q,Bidhannagar,Too Few Ratings,52,676; A.E. Block sector 1; AE Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064,Salt Lake,['Indian' 'Biryani' 'Chinese' 'Tandoor' 'Kebabs'],₹300 FOR TWO,,,
NIC Natural Ice Creams,Bidhannagar,1000+ ratings,42,Nic Natural Ice Creams; NP-375; Nayapatty; Sector V; Kolkata-700102,Cloud 1,['Ice Cream' 'Desserts'],₹120 FOR TWO,,,
Delish bakery,Bidhannagar,Too Few Ratings,47,EE-27; SALT LAKE CITY SECTOR -II WARD -32; BIDDHANNAGAR -RAJARHAT MUNCIPAL CORPORATION ; NORTH TWENTY FOUR PARGANAS WEST BENGAL -700091,Salt Lake,['Bakery'],₹500 FOR TWO,,,
Wokchi,Salt Lake,Too Few Ratings,45,BE-95; Sector-1; Salt Lake City; Kolkata; Ward No.-31; Bidhannagar-Rajarhat Municipal Corporation; North Twenty Four Parganas; West Bengal- 700064,Salt Lake,['Chinese' 'Fast Food'],₹500 FOR TWO,,,
Pappu Chaiwalla,Bidhannagar,100+ ratings,41,DB-7; Sector-1; Salt Lake; Kolkata-700064,Near City Centre,['Continental' 'North Indian' 'Street Food'],₹200 FOR TWO,,,
Punjabi@99,Salt Lake,Too Few Ratings,45,BE- 95; Sector-1; Salt Lake City; Kolkata; Ward No.-31; Bidhannagar-Rajarhat Municipal Corporation; North Twenty Four Parganas; West Bengal- 700064,Salt Lake,['Punjabi' 'North Indian' 'Snacks' 'Chinese' 'Beverages'],₹200 FOR TWO,,,
Dawat Patrified,Salt Lake,Too Few Ratings,45,BE-95; Sector-1; Salt Lake City; Kolkata; Ward No.-31; Bidhannagar-Rajarhat Municipal Corporation; North Twenty Four Parganas; West Bengal- 700064,Salt Lake,['North Indian' 'Biryani' 'Snacks' 'Desserts' 'Beverages'],₹800 FOR TWO,,,
Haji Ali,Opposite to Technopolis,1000+ ratings,40,214; Block NP; Near Technopolis; Sector 5; Salt Lake,Opposite to Technopolis,['Biryani' 'Mughlai' 'North Indian' 'Kebabs' 'Tandoor' 'Indian' 'Chinese'],₹500 FOR TWO,,,
Deja Bowl,Bidhannagar,100+ ratings,41,DN 37; Sector 5; Salt Lake; Kolkata,Sector V Salt Lake,['Chinese' 'North Indian' 'Indian' 'Biryani' 'Punjabi' 'Combo' 'Desserts'],₹250 FOR TWO,,,
Plush 28,Bidhannagar,20+ ratings,49,AD 58; Sector 1; Salt lake,Near Tank No.4,['Indian' 'Chinese' 'Oriental' 'Italian'],₹1200 FOR TWO,,,
Rosy Roti,Bidhannagar,100+ ratings,47,DN - 37. Sector v ; saltlake city; kolkata -91,Sector V Salt Lake,['Home Food' 'North Indian' 'Punjabi' 'Snacks' 'Combo' 'Desserts'],₹200 FOR TWO,,,
Orko'ss Restaurant & Lounge Bar,Bidhannagar,Too Few Ratings,56,3rd Floor  Block E  City Centre 1  Sector 1  Salt Lake,City Centre 1,['Indian' 'Bengali' 'Chinese'],₹1200 FOR TWO,,,
Burger In Law,Bidhannagar,1000+ ratings,55,NP 14; Govind bhawan; Sector 5 ; kolkata -700102; Near Midland Park,Near Midland Park,['American' 'Fast Food' 'Beverages'],₹350 FOR TWO,,,
Machhli Baba Fries,Near Tank no.8,500+ ratings,51,AL 231;Near Tank No.8;Sector 2; Salt Lake,Near Tank no.8,['Bengali' 'Continental' 'Kebabs' 'Seafood' 'Street Food' 'Snacks'],₹250 FOR TWO,,,
CALCUTTA BAKERY CAFE,Salt Lake,20+ ratings,54,BD 97; SALT LAKE; CC BLOCK; N 24 PGS; BIDHANNAGAR NORTH; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700064,Salt Lake,['Continental' 'Pizzas' 'Fast Food' 'Beverages' 'Italian' 'Cafe' 'Chinese'],₹500 FOR TWO,,,
Tiffin Express ,Bidhannagar,20+ ratings,50,AL-5; SECTOR-2; SALTLAKE 700091,Salt Lake,['Indian'],₹200 FOR TWO,,,
Baati Chokha,Bidhannagar,100+ ratings,50,FD 14; Sector 3; Salt Lake,ATI more/ Opp Chinese Embassy,['North Indian' 'Indian'],₹500 FOR TWO,,,
Sultanat E Biryani by Purple,Salt Lake,20+ ratings,49,Carnival Cinemas Downtown Mall; Beside Cinema Box Office; Block IB- 177 & 178; Sector III; Salt Lake ; Kolkata ; West Bengal 700106,Salt Lake,['Biryani' 'North Indian' 'Snacks'],₹200 FOR TWO,,,
Krazzy For Waffle,Bidhannagar,100+ ratings,48,EC 45; Sector 1; Salt Lake; Kolkata-700064,Salt Lake Sector 1,['Desserts' 'Beverages' 'Ice Cream'],₹200 FOR TWO,,,
AGARWAL TEA AND SNACKS,Bidhannagar,20+ ratings,48,BG GREEN VERGE ( NEAR BG-1 ); SECTOR-2; SALT LAKE; KOLKATA-700091;BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty FourParganas (West Bengal); - 700091,Salt Lake,['Fast Food'],₹250 FOR TWO,,,
7 Days,Bidhannagar,Too Few Ratings,48,GD 151; GD Block; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Indian'],₹600 FOR TWO,,,
Jahangir's Kitchen,Bidhannagar,100+ ratings,48,NP 214; Opposite Technopolis; Sector 5; Salt Lake; Kolkata,Sector V Salt Lake,['Indian'],₹250 FOR TWO,,,
Behrouz Biryani,Beleghata,100+ ratings,48,GROUND;FLOOR; 64/3/1; DR SURESH CHANDRA BANERJEE ROAD;BELIAGHATA;P.O & P.S- BELIAGHATA; KOLKATA 700010,BELIAGHATA,['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts'],₹500 FOR TWO,,,
Sandwich Gali,Salt Lake,Too Few Ratings,48,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food'],₹250 FOR TWO,,,
Mytee Bites,Salt Lake,Too Few Ratings,48,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Salt Lake,['Indian' 'Beverages' 'Ice Cream'],₹250 FOR TWO,,,
4TH STREET DINING HALL,Salt Lake,50+ ratings,48,HB-286; SECTOR -3; SALTLAKE CITY; KOLKATA-700106 OPPOSITE CARNIVAL CINEMAS,Salt Lake,['Bengali' 'Desserts'],₹300 FOR TWO,,,
T & MORE,Kankurgachi,Too Few Ratings,48,190/B MANICKTALA MAIN ROAD;KOLKATA MUNICIPAL CORPORATION;KOLKATA;WEST BENGAL,Kankurgachi,['Beverages' 'Fast Food' 'Snacks'],₹300 FOR TWO,,,
Biryani Everyday,Salt Lake,Too Few Ratings,48,B-G-49; BG Block; Sector II; Bidhannagar; Kolkata; West Bengal 700136; India,Salt Lake,['Biryani'],₹400 FOR TWO,,,
Burger Kitchen,Sector V Salt Lake,Too Few Ratings,48,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Sector V Salt Lake,['American' 'Fast Food' 'Italian'],₹200 FOR TWO,,,
CHAIOLIC,Salt Lake,Too Few Ratings,48,KIOSK NO-1; GROUND FLOOR; NETGURU BUILDING; BLOCK-GP-E2/4; SECTOR-V; SALTLAKE;Kolkata;West Bengal-700091,Salt Lake,['Beverages' 'Fast Food'],₹200 FOR TWO,,,
Bijoli Grill-EZCC Salt Lake,Bidhannagar,100+ ratings,48,Eastern Zonal Cultural Centre; Broadway Rd; IB-201; Near Columbia Asia Hospital; Sector III; Salt Lake; Kolkata-700106,Salt Lake,['Bengali' 'Snacks'],₹300 FOR TWO,,,
aamio bengali restaurant,Salt Lake,50+ ratings,48,BL-37 SECTOR-2 SALT LAKE ,Salt Lake,['Bangladeshi' 'Bengali'],₹200 FOR TWO,,,
Blue Tokai Coffee Roasters,Salt Lake,50+ ratings,48,MB-690; Mahisbathan; Saltlake City beside 215-A Bus Stand near Saltlake  Shiksha Niketan School Kolkata; West Bengal -700102,Salt Lake,['Healthy Food' 'Pastas' 'American' 'Lebanese' 'Mediterranean' 'European' 'Juices' 'Middle Eastern'],₹600 FOR TWO,,,
Suchalis Artisan Bakehouse,Salt Lake,50+ ratings,48,Dag No.253 (MB-690 Mohishbathan Salt Lake (east) kolkata; WARD NO-7; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700029,Salt Lake,['Bakery'],₹350 FOR TWO,,,
Santa Delivers,Bidhannagar,500+ ratings,54,NP 14; Govind bhawan; Sector 5 ; kolkata -700102; Near Midland Park,Near Midland Park,['North Indian' 'Kebabs' 'Mughlai' 'Biryani' 'Chinese'],₹300 FOR TWO,,,
Fabbrica,Bidhannagar,50+ ratings,58,DC A301; CITY CENTRE; SECTOR 2; SALT LAKE; KOLKATA 64,Salt Lake,['Italian'],₹1200 FOR TWO,,,
Hotmenu,Salt Lake,20+ ratings,52,DN-46;SECTOR - V;SALTLAKE; P.O- SECH BHAVAN; P.S. - ELECTRONICS COMPLEX; BIDHANNAGAR- RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700091,Salt Lake,['Chinese' 'American' 'North Indian' 'Continental' 'Italian' 'French' 'Biryani' 'Bengali'],₹250 FOR TWO,,,
Shiraz Golden Restaurant,Bidhannagar,1000+ ratings,44,1st Cross Rd; HA Block; Sector III; Bidhannagar; Kolkata; West Bengal 700039,Salt Lake,['Biryani' 'Mughlai' 'North Indian' 'Indian' 'Kebabs' 'Tandoor'],₹500 FOR TWO,,,
Chennai Square,Bidhannagar,1000+ ratings,43,177 & 178 Salt lake; 4th floor Down town/ Broadway Mall Carnival Cinemas & Big Bazaar Building Block IB; Sector 3; Salt Lake; Kolkata,Broadway Mall Carnival Cinemas & Big Bazaar Building Block IB,['South Indian' 'Beverages'],₹500 FOR TWO,,,
Chowrasia Chaats,Bidhannagar,500+ ratings,38,Broadway Mall; IB 177/178; Sector 3; Salt Lake,Besides Carnival/broadway Mall,['Street Food' 'Snacks'],₹150 FOR TWO,,,
Wow! China Bistro,Salt Lake,100+ ratings,58,UNIT-A;Ground Floor; Plot No.K1; Block-EP &amp; GP; Sector-V; Saltlake;City; Kolkata-700091; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North;Twenty Four Parganas; West Bengal-700091,Saltlake,['Tibetan' 'Chinese' 'Asian' 'Snacks' 'Continental' 'Desserts' 'Beverages'],₹400 FOR TWO,,,
Bhaaja Fry,Bidhannagar,100+ ratings,57,NP 14; GOVIND BHAWAN; SEC 5 ; KOLKATA - 700102,sector v,['Bengali' 'Snacks'],₹400 FOR TWO,,,
New Kalika,Salt Lake,Too Few Ratings,52,CB -68 ;SALT LAKE CITY; SECTOR 1; KOLKATA - 700064,Salt Lake,['North Indian' 'Chinese' 'Seafood' 'Fast Food'],₹200 FOR TWO,,,
Biggies Burger,Broadway Mall,100+ ratings,44,177; 178; IB Block; Salt Lake Sector 3; Bidhannagar; Kolkata - 700156,Salt Lake,['American' 'Fast Food' 'Beverages'],₹300 FOR TWO,,,
Caafe 360 Degree-Sector 3,Bidhannagar,50+ ratings,51,4th Floor; Broadway Mall; IB 177/178; Sector 3; Salt Lake,Broadway Mall,['Italian' 'Chinese'],₹500 FOR TWO,,,
SUNDARINI NATURALS,Salt Lake,20+ ratings,43,HA-20; Sector III; Salt Lake,Salt Lake,['Sweets' 'Desserts'],₹250 FOR TWO,,,
Cookey Monkey,Salt Lake,Too Few Ratings,47,AE 648; Salt Lake City; Sector - 1; Kolkata - 700064. Opposite AE Local Market/Mother Dairy Booth.- 700064,Salt Lake,['Snacks'],₹350 FOR TWO,,,
MISHRA'S,Bidhannagar,50+ ratings,58,Mishra's Restaurant cum Bar; IB Block; Sector III; Salt Lake; Kolkata; West Bengal; India,Salt Lake,['North Indian' 'Bengali' 'Tandoor'],₹300 FOR TWO,,,
New Simla Restaurant,Bidhannagar,500+ ratings,44,Plot No- 03/0030 Sector -IV Santinagar Nowbhanga Kolkata ; Bhidhannagar- Rajarhat Municipal Corporation; North Twenty Four Parganas(West Bengal);-700105,Saltlake Sector-IV,['Biryani'],₹150 FOR TWO,,,
ABsAbsolute Barbecues,Salt Lake,100+ ratings,54,Plot-A2; M2 & N2; Block-GP; Omega Building; 1 st Floor; Sector-5; Salt Lake; Kolkata; Rajarhat; North Twenty Four Parganas  700091,Salt Lake,['North Indian' 'Mughlai' 'Chinese' 'Barbecue' 'Grill' 'Seafood' 'Biryani' 'Kebabs' 'Pan-Asian'],₹400 FOR TWO,,,
Grameen Kulfi,Bidhannagar,100+ ratings,38,Nic Natural Ice Creams; NP-375; Nayapatty; Sector V; Kolkata-700102,Electrctronics Complex,['Ice Cream' 'Desserts'],₹120 FOR TWO,,,
SINCE 2016 CAFE,Salt Lake,Too Few Ratings,61,EC-26; 3rd Ave; opposite City Centre; Bidhan Nagar; EC Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Pizzas' 'North Indian'],₹500 FOR TWO,,,
Le Coffee Creme,Bidhannagar,50+ ratings,54,EC 26; Near City Centre 1; Sector 1; Salt Lake; Kolkata,Sector 1,['Combo' 'Chinese' 'Continental' 'Italian' 'Mexican'],₹600 FOR TWO,,,
Fusion Fantasea,Salt Lake,Too Few Ratings,57,Eastern Zonal Cultural Centre; Broadway Rd; IB-201; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Seafood' 'Chinese' 'Biryani' 'Desserts'],₹400 FOR TWO,,,
Red Bubble Cafe by Purple Foods,Salt Lake,Too Few Ratings,46,Carnival Cinemas Downtown Mall; Beside Cinema Box Office; Block IB- 177 & 178; Sector III; Salt Lake ; Kolkata ; West Bengal 700106,Salt Lake,['Snacks' 'Fast Food' 'Beverages'],₹200 FOR TWO,,,
Rabribhog,Salt Lake,Too Few Ratings,58,DN-46; SECTOR-V; SALT LAKE; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700091,Salt Lake,['Desserts'],₹200 FOR TWO,,,
GRUBVIBE,Salt Lake,Too Few Ratings,56,AK-2; SALT LAKE CITY; SECTOR-II; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700091,Salt Lake,['Chinese' 'Indian' 'Continental' 'Beverages'],₹200 FOR TWO,,,
Chinar Tales,Salt Lake,Too Few Ratings,50,PREMISES NO-EC 26; SECTOR 1; SALT LAKE; WARD NO-40; BIDHANNAGAR- RAJARHAT MUICIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS; WEST BENGAL-700064,Salt Lake,['Snacks' 'Tandoor' 'Fast Food'],₹300 FOR TWO,,,
SINCE COFFEE,Salt Lake,Too Few Ratings,51,EC-26; Ground Floor; Sector-I; Salt Lake City Kolkata 64; Bidhan Nagar; EC Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Beverages' 'Juices'],₹400 FOR TWO,,,
4TH STREET DINING HALL,Salt Lake,50+ ratings,48,HB-286; SECTOR -3; SALTLAKE CITY; KOLKATA-700106 OPPOSITE CARNIVAL CINEMAS,Salt Lake,['Bengali' 'Desserts'],₹300 FOR TWO,,,
Crazy 4 Cakes,Sector 5,50+ ratings,40,Infinity Benchmark; Shop No. 4A; Block GP; Ground Floor; Plot No. G1; Sector 5; Salt Lake Electronics Complex; Kolkata-700091 ,Salt Lake,['Desserts' 'Bakery'],₹300 FOR TWO,,,
